#Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	HGNC symbol	Gene ID
12	22875163	22875403	RPS27P22	ENSG00000241451
4	130781577	130781655	RNY5P4	ENSG00000222861
1	38862331	38862437	RNU6-753P	ENSG00000200796
X	72223352	72225551	PABPC1L2B	ENSG00000184388
10	121718025	121718104	MIR4682	ENSG00000265370
2	130748029	130808704	FAR2P1	ENSG00000180178
4	130824165	130825318	EEF1GP8	ENSG00000234125
10	121756598	121757221	NACAP2	ENSG00000180230
X	110859125	110859401	RN7SL661P	ENSG00000266829
HSCHR6_MHC_QBL	30824355	30833288	DDR1-AS1	ENSG00000223405
4	146402346	146479231	SMAD1	ENSG00000170365
1	238654658	238655944	KRT18P32	ENSG00000215149
3	69098109	69098186	MIR3136	ENSG00000265355
HSCHR6_MHC_QBL	30848250	30848339	MIR4640	ENSG00000265336
19	45041045	45124119	CEACAM22P	ENSG00000230666
2	120197419	120282070	SCTR	ENSG00000080293
22	24825178	24891042	ADORA2A-AS1	ENSG00000178803
3	69520603	69521683	RBM43P1	ENSG00000239263
4	131415828	131416440	PGBD4P4	ENSG00000248877
1	238940349	238942500	MIPEPP2	ENSG00000224783
X	110862905	110864717	EIF4BP7	ENSG00000225031
4	131424512	131425499	GAPDHP56	ENSG00000249018
1	145149740	145149840	RNU6-1071P	ENSG00000201789
HSCHR6_MHC_QBL	30903331	30912213	HCG21	ENSG00000230541
2	218116279	218116598	RN7SKP43	ENSG00000251982
12	121440225	121454305	C12orf43	ENSG00000157895
1	92867948	92868242	RN7SL824P	ENSG00000242764
1	181740702	181740780	RNA5SP70	ENSG00000252977
6	30434229	30435771	TMPOP1	ENSG00000229068
8	21654972	21655271	OR6R2P	ENSG00000273484
17	40688190	40696467	NAGLU	ENSG00000108784
15	74753606	74773643	UBL7-AS1	ENSG00000247240
X	72297115	72299351	PABPC1L2A	ENSG00000186288
6	153990014	153991036	MTND4P13	ENSG00000216713
5	51578401	51578693	RPS17P11	ENSG00000244621
1	93112605	93113187	HMGB3P9	ENSG00000229992
1	181808608	181808909	RN7SKP229	ENSG00000222397
7	63610063	63610810	VN1R37P	ENSG00000213643
X	110867438	110867954	RPL18AP15	ENSG00000236189
2	218625270	218626014	RPL7L1P9	ENSG00000231035
5	68485375	68506184	CENPH	ENSG00000153044
3	69818640	69818928	RN7SL418P	ENSG00000241665
9	139698379	139703300	CCDC183-AS1	ENSG00000228544
6	30436659	30438028	SUCLA2P1	ENSG00000224936
12	128751948	129192460	TMEM132C	ENSG00000181234
Y	20267200	20269988	TRAPPC2P8	ENSG00000225895
4	132194397	132194503	RNU6-224P	ENSG00000206782
6	39867354	39902290	MOCS1	ENSG00000124615
HSCHR6_MHC_QBL	31014738	31020038	HCG22	ENSG00000227974
1	239866684	239893765	CHRM3-AS2	ENSG00000233355
7	63640384	63641270	VN1R38P	ENSG00000235227
6	154002582	154002688	RNU6-896P	ENSG00000199246
1	93166376	93166491	RNU4-59P	ENSG00000201317
8	67104328	67109550	LINC00967	ENSG00000253138
10	122521324	122610721	WDR11-AS1	ENSG00000227165
6	154259568	154260127	HMGB3P19	ENSG00000217085
6	30453717	30454367	RANP1	ENSG00000236603
11	89701672	89708396	TRIM64	ENSG00000204450
4	132641417	132641698	RN7SL205P	ENSG00000241392
1	39392542	39392649	RNU6-605P	ENSG00000199963
15	42120283	42129779	JMJD7	ENSG00000243789
12	66582659	66648402	IRAK3	ENSG00000090376
X	110913057	110913176	RNA5SP512	ENSG00000201420
1	93221351	93222513	CCNJP2	ENSG00000223896
7	143295133	143305111	FAM115B	ENSG00000223459
3	12328867	12475855	PPARG	ENSG00000132170
Y	20278413	20279581	USP9YP15	ENSG00000233120
X	110949877	110954329	ALG13-AS1	ENSG00000229487
1	93302846	93302940	SNORD21	ENSG00000206680
2	218923878	218930452	CXCR2P1	ENSG00000229754
9	139707240	139709988	NCLP1	ENSG00000213212
6	30552109	30552194	MIR877	ENSG00000216101
7	63815456	63816577	TRIM60P18	ENSG00000227986
1	240061316	240063172	CHRM3-AS1	ENSG00000234601
8	22102475	22102556	MIR320A	ENSG00000208037
HSCHR6_MHC_QBL	31100958	31101144	POLR2LP	ENSG00000237545
5	137405044	137405147	RNU6-1148P	ENSG00000222924
5	133737778	133747589	CDKN2AIPNL	ENSG00000237190
1	93306276	93306408	SNORA66	ENSG00000207523
3	70189368	70189639	UQCRHP4	ENSG00000242728
6	86445462	86445639	SMIM11P1	ENSG00000198738
6	154897443	154898213	RPS4XP8	ENSG00000219146
X	111125125	111147218	TRPC5OS	ENSG00000204025
6	30601409	30601675	PTMAP1	ENSG00000228415
1	204372515	204380919	PPP1R15B	ENSG00000158615
HSCHR6_MHC_QBL	31133984	31138149	PSORS1C3	ENSG00000224744
2	219065157	219066111	HMGB1P9	ENSG00000224159
10	37626343	37627799	TMEM161BP1	ENSG00000237970
11	7749632	7750935	OR10AB1P	ENSG00000176716
X	155255323	155257848	DDX11L16	ENSG00000227159
2	182603333	182603442	RNU6ATAC19P	ENSG00000221023
6	30664583	30665312	RPL7P4	ENSG00000230449
5	137452262	137452369	RNU6-460P	ENSG00000212460
1	39586612	39586715	RNU6-608P	ENSG00000206654
5	137458700	137458800	RNU6-888P	ENSG00000199880
1	145382757	145382920	RNVU1-6	ENSG00000201558
6	86461299	86461471	RNU4-72P	ENSG00000222686
6	30670844	30680961	MDC1-AS1	ENSG00000224328
1	39619836	39619968	RNA5SP44	ENSG00000222378
2	182825939	182827205	KRT18P29	ENSG00000213958
20	61509090	61569304	DIDO1	ENSG00000101191
16	318726	333003	ARHGDIG	ENSG00000242173
11	7767537	7768453	OR5P4P	ENSG00000227892
7	143451721	143451823	RNU6-267P	ENSG00000252523
15	75081013	75081098	MIR4513	ENSG00000264386
HSCHR6_MHC_QBL	31157983	31164195	HCG27	ENSG00000220890
2	26395960	26412532	GAREML	ENSG00000157833
10	37637544	37638500	VN1R53P	ENSG00000236313
2	68592305	68624585	PLEK	ENSG00000115956
2	182913549	182913632	RNA5SP113	ENSG00000222418
1	240175946	240176526	RPS7P5	ENSG00000217327
22	25028882	25046799	BCRP3	ENSG00000215481
8	67413440	67413546	RNU6-1324P	ENSG00000206949
1	93435161	93435267	RNU6-970P	ENSG00000252121
6	143771944	143811147	PEX3	ENSG00000034693
1	39769966	39770570	HSPE1P8	ENSG00000217897
2	183179011	183179269	RN7SL267P	ENSG00000242121
1	93440386	93440680	RN7SL692P	ENSG00000239710
16	72038936	72040442	ATP5A1P3	ENSG00000263232
8	22291904	22292010	RNU6-336P	ENSG00000201761
19	46990163	46999755	PNMAL2	ENSG00000204851
2	183652825	183653162	RPL31P15	ENSG00000232430
8	67679632	67680240	PTTG3P	ENSG00000213005
4	132778498	132779068	RPL7AP28	ENSG00000184139
11	89714609	89724840	TRIM51EP	ENSG00000237706
5	172447731	172447931	SNORA74B	ENSG00000212402
1	93475814	93475908	RNU6-210P	ENSG00000252752
2	183738569	183738675	RNU6-1122P	ENSG00000207178
1	93491809	93492099	RN7SKP123	ENSG00000222664
19	45430061	45434643	APOC1P1	ENSG00000214855
6	30718815	30719062	RN7SL353P	ENSG00000263608
11	7794437	7795361	OR5P1P	ENSG00000166408
5	172512345	172513213	CDC42P5	ENSG00000253439
5	72021246	72021978	RPL7P22	ENSG00000226544
2	9880772	9880912	RNU4-73P	ENSG00000200034
1	39980628	39982162	OXCT2P1	ENSG00000237624
6	30734602	30760027	HCG20	ENSG00000228022
1	182296203	182296309	RNU6-152P	ENSG00000206764
2	183935768	183937214	KRT8P10	ENSG00000231203
6	155146310	155146413	RNU6-824P	ENSG00000200594
16	28962128	28978418	NFATC2IP	ENSG00000176953
9	139725409	139725475	MIR4292	ENSG00000265806
1	240333455	240334591	ADH5P3	ENSG00000223694
5	137614783	137615041	RN7SL682P	ENSG00000266285
HSCHR6_MHC_QBL	31233164	31236336	USP8P1	ENSG00000228904
10	37811939	37833629	TACC1P1	ENSG00000224920
9	139781185	139781255	MIR4479	ENSG00000266507
8	67833919	67838633	SNHG6	ENSG00000245910
2	62095224	62115939	CCT4	ENSG00000115484
16	72410603	72410659	RNU6-385P	ENSG00000207514
4	133288941	133289634	ELL2P2	ENSG00000251051
6	155174494	155174570	MIR1273C	ENSG00000264814
7	150497491	150502208	TMEM176A	ENSG00000002933
10	37889724	37890296	MTND1P18	ENSG00000225276
2	184125370	184125774	LIN28AP1	ENSG00000213120
6	30766431	30798436	LINC00243	ENSG00000214894
11	58563710	58564327	TMA16P1	ENSG00000255265
HSCHR6_MHC_QBL	31237899	31239098	RPL3P2	ENSG00000223927
2	184472170	184472847	CACYBPP2	ENSG00000177855
6	86702739	86702877	RNU4-12P	ENSG00000202103
2	130763773	130766696	ARHGAP42P2	ENSG00000231147
1	182376756	182383950	LINC00272	ENSG00000203729
6	86796133	86796852	RPL7P27	ENSG00000220069
HSCHR6_MHC_QBL	31245375	31246826	WASF5P	ENSG00000225954
11	89726704	89732909	TRIM53AP	ENSG00000225581
5	137809433	137810050	RPL7P19	ENSG00000241458
11	58645775	58660933	GLYATL1P2	ENSG00000254717
11	65651212	65656010	FIBP	ENSG00000172500
2	48444714	48445038	RN7SKP224	ENSG00000201010
2	219267369	219267445	MIR26B	ENSG00000199121
2	48567826	48567965	RNU4-49P	ENSG00000251889
X	111563180	111563645	DPRXP7	ENSG00000271464
1	40915774	40929390	ZFP69B	ENSG00000187801
2	219365452	219365760	RN7SKP38	ENSG00000222714
1	182410712	182411497	TEDDM1P1	ENSG00000233537
2	48729061	48729163	RNU6-282P	ENSG00000202227
2	219453937	219454043	RNU6-136P	ENSG00000207393
1	145509752	145516076	GNRHR2	ENSG00000211451
6	30832027	30832329	RN7SKP186	ENSG00000202241
2	48859995	48860492	TPT1P11	ENSG00000239995
2	95963052	96051825	KCNIP3	ENSG00000115041
2	185243702	185243771	MIR548AE1	ENSG00000266808
6	86923955	86924297	NDUFA5P9	ENSG00000220831
6	155976097	155976160	RNU7-152P	ENSG00000238789
6	30834759	30843695	DDR1-AS1	ENSG00000237775
HSCHR6_MHC_QBL	31324240	31324786	DHFRP2	ENSG00000236851
14	31363005	31495607	STRN3	ENSG00000196792
6	156267931	156268013	MIR1202	ENSG00000221456
5	172652839	172653426	RPL7AP33	ENSG00000254200
6	30858660	30858749	MIR4640	ENSG00000264594
6	30874655	30874913	RN7SL175P	ENSG00000264731
10	38083204	38085037	ZNF33BP1	ENSG00000225192
7	63894208	63894970	YWHAEP1	ENSG00000232727
6	30913756	30922639	HCG21	ENSG00000233529
6	87145570	87145854	RN7SL643P	ENSG00000243124
5	137896732	137896799	SNORD63	ENSG00000206989
2	130794531	130795995	KLF2P1	ENSG00000231240
6	139117063	139225207	ECT2L	ENSG00000203734
2	49007741	49008034	TCEB2P3	ENSG00000232285
19	45550716	45550819	RNU6-611P	ENSG00000207003
7	99302660	99332819	CYP3A7	ENSG00000160870
17	47035916	47045958	GIP	ENSG00000159224
X	9754496	9917483	SHROOM2	ENSG00000146950
6	31021227	31027667	HCG22	ENSG00000228789
15	75478992	75479309	RPL36AP45	ENSG00000240366
5	68513587	68525956	MRPS36	ENSG00000134056
HSCHR6_MHC_QBL	31338302	31338728	ZDHHC20P2	ENSG00000231773
1	39997510	40024379	PPIEL	ENSG00000243970
5	172719520	172719622	RNA5SP200	ENSG00000252169
16	72707402	72707463	RNU7-90P	ENSG00000238731
19	47104331	47114050	CALM3	ENSG00000160014
5	172789137	172789243	RNU6-500P	ENSG00000199219
2	219780906	219781009	RNU6-642P	ENSG00000200029
16	72762515	72763793	KRT18P18	ENSG00000261764
HSCHR6_MHC_QBL	31339952	31340166	HLA-S	ENSG00000237559
1	182911250	182911539	HMGN1P4	ENSG00000224040
2	130805999	130807013	CYP4F27P	ENSG00000248313
22	25041133	25055114	POM121L10P	ENSG00000224124
6	87680184	87680911	RPL7P29	ENSG00000214457
1	182913500	182913625	RNA5SP71	ENSG00000199837
X	111933143	111933748	HMGB3P30	ENSG00000213652
2	219818123	219818772	KRT8P30	ENSG00000224928
6	87709763	87710009	MTHFD2P2	ENSG00000217169
X	119059014	119077735	NKAP	ENSG00000101882
19	45631827	45632288	EIF5AP3	ENSG00000267346
HSCHR6_MHC_QBL	31477555	31478366	PPIAP9	ENSG00000225317
5	6848240	6848575	RN7SKP79	ENSG00000200243
12	101869199	101880775	SPIC	ENSG00000166211
6	157100812	157100865	MIR4466	ENSG00000271899
1	240816667	240816777	RNU5F-8P	ENSG00000251750
2	219840321	219844382	LINC00608	ENSG00000236445
6	31050787	31050886	RNU6-1133P	ENSG00000222895
2	49142406	49143669	CTBP2P5	ENSG00000214602
5	133860003	133918918	JADE2	ENSG00000043143
17	34340096	34345005	CCL23	ENSG00000167236
6	31108504	31108690	POLR2LP	ENSG00000238211
11	89789145	89796167	TRIM64EP	ENSG00000223709
1	182928209	182929540	KRT18P28	ENSG00000176855
6	87792951	87793254	RN7SKP209	ENSG00000252697
11	7870247	7871182	OR5E1P	ENSG00000170688
16	72855832	72855891	RNU7-71P	ENSG00000251868
11	58746260	58761593	GLYATL1P1	ENSG00000255189
HSCHR6_MHC_QBL	31486175	31486754	RPL15P4	ENSG00000232572
1	145924388	145942619	PDZK1P1	ENSG00000215860
HSCHR6_MHC_SSTO	31822859	31838708	SLC44A4	ENSG00000232180
6	87831411	87832406	RCN1P1	ENSG00000215477
22	25082135	25082646	ARL5AP4	ENSG00000224806
8	41517959	41518026	MIR486	ENSG00000221035
6	31141512	31145676	PSORS1C3	ENSG00000204528
1	204391756	204463852	PIK3C2B	ENSG00000133056
X	112023946	112024016	MIR4329	ENSG00000263351
2	186821314	186821790	RPL21P32	ENSG00000224019
X	112099102	112099388	RN7SL266P	ENSG00000243011
15	75544084	75545275	NIFKP4	ENSG00000261205
17	56408245	56409869	MIR142	ENSG00000265206
1	182951347	182951453	RNU6-41P	ENSG00000207472
11	7910729	7910826	RNU6-943P	ENSG00000252769
7	75528518	75616173	POR	ENSG00000127948
1	40033046	40033180	SNORA55	ENSG00000201457
11	7999028	7999255	COX6CP5	ENSG00000254642
10	90750414	90775542	FAS	ENSG00000026103
8	67834709	67834786	SNORD87	ENSG00000254341
5	138099909	138100243	RN7SL867P	ENSG00000265361
19	45835956	45836382	RPS16P9	ENSG00000242675
HSCHR6_MHC_QBL	31500359	31501193	DDX39B-AS1	ENSG00000238071
5	138348018	138348130	RNA5SP194	ENSG00000201532
2	219866362	219866431	MIR375	ENSG00000198973
15	65440557	65477680	CLPX	ENSG00000166855
3	70800274	70800501	COX6CP6	ENSG00000240156
9	140063638	140063722	MIR3621	ENSG00000263697
6	157720077	157721158	LDHAL6FP	ENSG00000217783
15	75560749	75561024	RN7SL489P	ENSG00000242542
1	183430009	183440881	SMG7-AS1	ENSG00000232860
2	108938694	108970255	SULT1C2P1	ENSG00000237223
1	40189238	40189299	RNU7-121P	ENSG00000252413
11	58810210	58818444	GLYATL1P4	ENSG00000254399
HSCHR6_MHC_QBL	31569105	31569378	UQCRHP1	ENSG00000229189
15	75585025	75585300	RN7SL327P	ENSG00000244438
16	73126248	73127673	HCCAT5	ENSG00000260880
8	68011537	68011660	RNA5SP268	ENSG00000252637
1	240932720	240934834	PRKRIRP8	ENSG00000223963
6	31243349	31246531	USP8P1	ENSG00000214892
6	26440700	26453643	BTN3A3	ENSG00000111801
17	26662628	26674035	TNFAIP1	ENSG00000109079
X	135160003	135160790	GAPDHP67	ENSG00000219930
15	75592294	75595306	DNM1P34	ENSG00000260357
2	219923410	219923472	MIR3131	ENSG00000264755
22	25108259	25108489	CRIP1P4	ENSG00000182351
6	88008490	88010165	HSPD1P10	ENSG00000216990
X	112162360	112162458	RNU6-1015P	ENSG00000252930
2	49460933	49461038	RNU6-439P	ENSG00000206915
2	50105761	50106501	RPL7P13	ENSG00000234253
6	31248094	31249296	RPL3P2	ENSG00000227939
11	58853780	58862259	GLYATL1P3	ENSG00000255151
1	240986306	240986733	RFKP1	ENSG00000215802
HSCHR6_MHC_QBL	31616346	31618738	C6orf47-AS1	ENSG00000224835
6	44267391	44281063	AARS2	ENSG00000124608
5	96496571	96518964	RIOK2	ENSG00000058729
X	49028273	49031588	PLP2	ENSG00000102007
19	46142252	46142345	MIR330	ENSG00000199066
6	157950164	157950232	MIR3692	ENSG00000266617
15	75613738	75615034	ANP32BP1	ENSG00000259790
6	31255287	31256741	WASF5P	ENSG00000231402
19	46154768	46155060	RN7SL836P	ENSG00000241226
16	333152	337215	PDIA2	ENSG00000185615
1	241082953	241083909	HNRNPA1P42	ENSG00000233615
HSCHR6_MHC_COX	31607608	31613401	APOM	ENSG00000224290
19	46178186	46178282	MIR642A	ENSG00000207773
5	53154996	53156231	ASS1P9	ENSG00000217791
8	68761279	68761573	NDUFS5P6	ENSG00000255531
2	187126146	187126646	RPL23AP35	ENSG00000232568
3	171561139	171656505	TMEM212	ENSG00000186329
11	89819081	89820299	UBTFL1	ENSG00000255009
5	7047340	7047449	RNA5SP176	ENSG00000212258
15	75645952	75646026	MIR631	ENSG00000207636
1	40942887	40962015	ZFP69	ENSG00000187815
2	187229325	187229855	MED28P3	ENSG00000227692
2	74688184	74692537	MOGS	ENSG00000115275
5	68530668	68573250	CDK7	ENSG00000134058
2	187353351	187353810	DPRXP1	ENSG00000224323
9	140535438	140535999	SETP5	ENSG00000233998
HSCHR6_MHC_QBL	31659062	31659124	MIR4646	ENSG00000266271
6	31334129	31334675	DHFRP2	ENSG00000228432
12	82617460	82752584	CCDC59	ENSG00000133773
1	40643515	40643621	RNU6-1237P	ENSG00000207508
15	75680608	75681169	RPL13P4	ENSG00000241890
HSCHR6_MHC_QBL	32865184	32878022	BRD2	ENSG00000215077
6	158244296	158366109	SNX9	ENSG00000130340
8	69205681	69206053	RPL31P40	ENSG00000253964
6	31337911	31338017	RNU6-283P	ENSG00000201658
17	65821640	65980494	BPTF	ENSG00000171634
8	41697580	41697857	RN7SL149P	ENSG00000241834
11	89984400	90648220	DISC1FP1	ENSG00000261645
7	63904180	63905120	VN1R40P	ENSG00000223845
6	158345434	158345708	HSPE1P26	ENSG00000220867
3	177159709	177470093	LINC00578	ENSG00000228221
4	144106070	144144983	USP38	ENSG00000170185
6	31345196	31345796	FGFR3P1	ENSG00000230994
5	53207850	53207953	RNU6-272P	ENSG00000222960
8	69437752	69438141	RPS15AP25	ENSG00000236191
5	53247334	53247429	MIR581	ENSG00000207627
6	158355200	158355289	RNU6-786P	ENSG00000252658
6	43395104	43418168	ABCC10	ENSG00000124574
9	140732871	140732968	MIR602	ENSG00000207693
HSCHR6_MHC_QBL	31892622	31899887	C4B-AS1	ENSG00000235250
6	158422139	158423415	SYNJ2-IT1	ENSG00000233496
6	31348188	31348616	ZDHHC20P2	ENSG00000223702
18	48324574	48351772	MRO	ENSG00000134042
1	241295572	241295646	MIR3123	ENSG00000265831
1	145944938	145945104	RNU1-137P	ENSG00000201105
3	128936936	128937193	RPS27P12	ENSG00000241673
5	53343839	53344138	RN7SL801P	ENSG00000241230
HSCHR6_MHC_QBL	31958163	31961692	C4A-AS1	ENSG00000230075
8	69607878	69608014	RNA5SP269	ENSG00000239184
1	184304792	184305081	RN7SL654P	ENSG00000244568
7	63961203	63962107	HNRNPCP7	ENSG00000228653
13	27825446	27830828	RPL21	ENSG00000122026
6	31349851	31350065	HLA-S	ENSG00000225851
6	158658368	158663829	SRP72P2	ENSG00000188451
16	73974538	73975423	RPSAP56	ENSG00000225178
14	56232895	56234435	RPL13AP3	ENSG00000177350
1	145969270	145969433	RNVU1-7	ENSG00000207418
11	90288942	90289025	MIR4490	ENSG00000266703
11	58981880	58982172	RN7SL42P	ENSG00000263999
4	20254883	20622184	SLIT2	ENSG00000145147
3	129034235	129045068	H1FX-AS1	ENSG00000206417
11	90602289	90602370	MIR1261	ENSG00000221586
14	77490888	77495034	IRF2BPL	ENSG00000119669
19	46522190	46522307	MIR769	ENSG00000211580
2	187987289	187987588	RN7SKP42	ENSG00000222845
11	90847892	90849119	OSBPL9P2	ENSG00000254677
6	31368479	31445283	HCP5	ENSG00000206337
2	188135425	188135531	RNU6-989P	ENSG00000199626
14	56247864	56263406	LINC00520	ENSG00000258791
5	53371348	53371413	MIR4459	ENSG00000265421
2	188280279	188280545	GAPDHP59	ENSG00000231739
17	48348767	48358844	TMEM92	ENSG00000167105
12	76419227	76427712	PHLDA1	ENSG00000139289
X	135633037	135633119	MIR934	ENSG00000216060
11	59030862	59031275	SLC25A47P1	ENSG00000254799
5	53616774	53710955	LINC01033	ENSG00000249069
6	158858829	158859118	RN7SL173P	ENSG00000243373
HSCHR6_MHC_QBL	32250800	32251759	HNRNPA1P2	ENSG00000235171
5	138557447	138557526	RNU6-572P	ENSG00000252533
1	146059926	146060343	PFN1P5	ENSG00000227216
2	188577543	189152418	LINC01090	ENSG00000231689
11	90849129	90849723	OSBPL9P3	ENSG00000255070
6	158936637	158937261	CACYBPP3	ENSG00000219188
1	184790562	184790623	RNU7-13P	ENSG00000252222
7	25305543	25305909	TSEN15P3	ENSG00000234922
22	26879843	26890624	SRRD	ENSG00000100104
6	159030738	159042668	TATDN2P2	ENSG00000218226
5	138614470	138614667	SNORA74A	ENSG00000200959
1	146076838	146080009	ABHD17AP2	ENSG00000198658
X	135665399	135665504	RNU6-320P	ENSG00000252320
6	159146779	159147835	AMZ2P2	ENSG00000219249
1	184984083	184984199	RNA5SP72	ENSG00000201312
5	138635541	138635657	RNA5SP195	ENSG00000199545
5	138668727	138669054	RN7SKP64	ENSG00000253015
1	185040699	185041167	FTH1P25	ENSG00000232792
X	135721702	135724588	LINC00892	ENSG00000233093
6	159185693	159185785	MIR3918	ENSG00000265558
HSCHR6_MHC_QBL	32315749	32318924	HCG23	ENSG00000228738
8	70022748	70022809	RNU7-102P	ENSG00000238808
6	159239043	159241625	EZR-AS1	ENSG00000233893
6	153325594	153452384	RGS17	ENSG00000091844
X	9983602	10112518	WWC3	ENSG00000047644
1	242121039	242122364	BECN1P1	ENSG00000196289
14	77564440	77583630	CIPC	ENSG00000198894
HSCHR6_MHC_MCF	33437818	33452509	TAPBP	ENSG00000206208
2	10332740	10332797	MIR4261	ENSG00000265418
11	8705774	8705903	SNORA3	ENSG00000200983
17	67410839	67539472	MAP2K6	ENSG00000108984
19	46640003	46640804	TGIF1P1	ENSG00000259339
HSCHR6_MHC_QBL	32385108	32398790	HLA-DRB9	ENSG00000226035
11	8706986	8707116	SNORA45	ENSG00000212607
5	138783596	138783706	RNU5B-4P	ENSG00000200378
6	159262149	159278664	OSTCP1	ENSG00000243775
1	242156487	242156984	CFL1P4	ENSG00000213026
5	53695269	53695863	RPL37P25	ENSG00000251597
6	151186685	151423023	MTHFD1L	ENSG00000120254
6	88154113	88154893	ST13P16	ENSG00000218698
11	91682897	91683200	TUBB4BP4	ENSG00000254961
1	41059305	41060025	GTF2F2P2	ENSG00000233910
HSCHR6_MHC_QBL	32456257	32470744	HLA-DRB2	ENSG00000227442
1	43849588	43855479	MED8	ENSG00000159479
6	31409444	31414750	LINC01149	ENSG00000230174
1	242187251	242187356	RNU6-1139P	ENSG00000223119
1	185195940	185196832	RPL5P5	ENSG00000213051
2	10420757	10421017	RN7SL66P	ENSG00000264030
6	88198163	88198270	RNU6-444P	ENSG00000206715
11	91894272	91895055	RPL7AP57	ENSG00000242248
15	76020011	76030964	DNM1P35	ENSG00000246877
5	72174418	72174490	MIR4804	ENSG00000263593
1	242220387	242223544	TUBB8P6	ENSG00000224625
3	70803005	70803724	HMGB1P36	ENSG00000243873
X	49031151	49042845	PRICKLE3	ENSG00000012211
12	121458095	121477045	OASL	ENSG00000135114
11	92069198	92069662	NDUFB11P1	ENSG00000235547
6	88555368	88555663	RN7SL183P	ENSG00000240997
15	52839242	52862080	ARPP19	ENSG00000128989
7	99918615	99939531	PMS2P1	ENSG00000078319
5	92176514	92177335	LDHBP3	ENSG00000248950
6	159347498	159347603	RNU6-293P	ENSG00000223191
2	109743783	109745386	SH3RF3-AS1	ENSG00000259863
11	92099662	92100416	PGAM1P9	ENSG00000249255
4	164031225	164088073	NAF1	ENSG00000145414
12	57316938	57328189	SDR9C7	ENSG00000170426
2	26413504	26467594	HADHA	ENSG00000084754
2	10586840	10586975	SNORA80B	ENSG00000206633
2	109757946	109758044	MIR4265	ENSG00000264934
1	41156052	41157738	NFYC-AS1	ENSG00000272145
19	46699495	46700580	IGFL1P1	ENSG00000268879
5	92225094	92226547	CCT7P2	ENSG00000249958
17	56413337	56413383	MIR4736	ENSG00000264399
3	156543270	156763918	LEKR1	ENSG00000197980
1	93953890	93954009	RNA5SP53	ENSG00000212601
HSCHR6_MHC_QBL	32555985	32556833	HLA-DQB1-AS1	ENSG00000233744
6	31487257	31488068	PPIAP9	ENSG00000219797
1	41220027	41220118	MIR30E	ENSG00000198974
6	88985601	88986708	ACTBP8	ENSG00000220267
2	109867878	109868102	SNRPGP9	ENSG00000228551
1	41222956	41223044	MIR30C1	ENSG00000207962
1	40974413	40982228	EXO5	ENSG00000164002
1	41270518	41270811	RN7SL326P	ENSG00000264582
16	67862060	67881714	CENPT	ENSG00000102901
6	31495891	31496470	RPL15P4	ENSG00000225499
3	70857501	70857603	RNU6-281P	ENSG00000206939
HSCHR6_MHC_QBL	32602598	32603429	MTCO3P1	ENSG00000229710
3	177221091	177221340	RN7SKP52	ENSG00000252028
2	109930027	109930081	MIR4266	ENSG00000265965
15	76051842	76054746	MIR4313	ENSG00000261043
8	70612459	70612730	RN7SKP29	ENSG00000222889
X	135856158	135856264	RNU6-972P	ENSG00000212510
6	31504151	31504226	SNORD117	ENSG00000201785
5	92603135	92604131	POLD2P1	ENSG00000213730
1	46505812	46642160	PIK3R3	ENSG00000117461
HSCHR6_MHC_COX	31812978	31818226	NEU1	ENSG00000227315
19	46722680	46723177	RPL12P41	ENSG00000269637
6	31508878	31508955	SNORD84	ENSG00000265236
2	51738196	51738621	KNOP1P3	ENSG00000224344
X	135873223	135873939	RPL7P56	ENSG00000231164
1	242297574	242297683	RNA5SP81	ENSG00000222120
16	28985542	28995869	SPNS1	ENSG00000169682
6	31510081	31510915	DDX39B-AS1	ENSG00000234006
2	52002396	52002540	CRYGGP	ENSG00000223710
1	146124161	146124283	RNA5SP57	ENSG00000238765
17	56736510	56736666	RNU1-60P	ENSG00000202077
6	89773219	89773409	RNU2-61P	ENSG00000223001
X	135889382	135890036	RANP4	ENSG00000225125
2	188690068	188691176	ST13P2	ENSG00000235616
19	46763677	46764115	IGFL1P2	ENSG00000268238
6	89800665	89800959	RN7SL336P	ENSG00000264017
1	242351949	242352091	RN7SKP12	ENSG00000252084
6	31578860	31579133	UQCRHP1	ENSG00000230622
6	159661818	159664361	FNDC1-IT1	ENSG00000235086
12	57345219	57353158	RDH16	ENSG00000139547
19	46809727	46809834	RNU6-924P	ENSG00000199796
6	90011502	90012833	TUBB3P1	ENSG00000220418
1	94312388	94312467	MIR760	ENSG00000211575
8	42199285	42200152	RPL5P23	ENSG00000240395
7	143479760	143481377	PAICSP6	ENSG00000241136
6	36683256	36699870	RAB44	ENSG00000255587
5	139097570	139097675	RNU6-236P	ENSG00000200756
HSCHR6_MHC_QBL	32627212	32628148	HLA-DQB3	ENSG00000224197
1	45100910	45140227	TMEM53	ENSG00000126106
1	41407923	41408187	UBE2V1P8	ENSG00000233118
2	189141459	189141571	RNA5SP114	ENSG00000200650
17	45900638	45908900	MRPL10	ENSG00000159111
6	31590856	31590987	SNORA38	ENSG00000200816
1	94386824	94387223	CHCHD2P5	ENSG00000223490
17	19674142	19771249	ULK2	ENSG00000083290
17	56743898	56744058	RNU1-108P	ENSG00000199426
2	189162219	189162315	MIR561	ENSG00000207951
6	90131818	90132767	NACAP7	ENSG00000218965
